City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Maidens,GB,55.3338,-4.8147,46.44,92,100,28.43,moderate rain
317,Aksu,CN,41.1231,80.2644,28.44,38,100,4.45,overcast clouds
318,Iquique,CL,-20.2208,-70.1431,66.24,74,100,4.36,overcast clouds
319,Chiria,IN,22.3,85.2667,78.39,19,6,5.64,clear sky
320,Vila Velha,BR,-20.3297,-40.2925,76.95,89,40,8.05,scattered clouds
321,Bereda,ES,43.2686,-7.5406,58.41,100,100,13.04,overcast clouds
322,Wuda,CN,39.4994,106.7117,26.08,24,0,2.59,clear sky
323,Polunochnoye,RU,60.8697,60.4153,-13.49,99,100,2.82,overcast clouds
324,Bennettsville,US,34.6174,-79.6848,47.08,92,75,0.0,broken clouds
325,Olafsvik,IS,64.8945,-23.7142,22.57,53,100,10.85,overcast clouds
326,Neiafu,TO,-18.65,-173.9833,83.08,83,75,8.05,moderate rain
327,Aripuana,BR,-9.1667,-60.6333,71.35,100,100,1.34,light rain
328,Korla,CN,41.7597,86.1469,25.02,46,100,6.71,overcast clouds
329,Tabuk,PH,17.4189,121.4443,71.76,88,100,8.41,overcast clouds
330,Tumpat,MY,6.1978,102.171,89.19,74,40,8.05,scattered clouds
331,Rumoi,JP,43.9344,141.6428,27.39,74,100,7.9,light snow
332,Kunigal,IN,13.0222,77.0267,81.68,31,29,9.04,scattered clouds
333,Mazabuka,ZM,-15.856,27.748,73.18,69,100,7.45,overcast clouds
334,Gravdal,NO,68.1214,13.5031,39.09,60,75,16.11,light rain
335,Uray,RU,60.1247,64.7758,-7.47,99,99,3.24,overcast clouds
336,Salamanca,ES,40.8333,-6.0,52.0,94,100,16.37,overcast clouds
337,Rock Springs,US,41.5875,-109.2029,17.04,83,0,9.22,clear sky
338,Kalga,RU,50.9251,118.898,-2.96,97,99,3.4,overcast clouds
339,Upernavik,GL,72.7868,-56.1549,-10.03,90,100,4.68,overcast clouds
340,Maraa,BR,-1.8333,-65.3667,71.71,98,100,1.1,overcast clouds
341,Nara,JP,34.6851,135.8049,49.37,69,56,7.56,broken clouds
